bus_stop_name,municipality,operator_1,operator_2,operator_3,route_type_1,route_type_2,route_type_3,note,longitude,latitude,prefecture
石楯尾神社前,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.11941424235914,35.656690758905484,神奈川県
上岩,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.12010702819524,35.65347790381783,神奈川県
上岩下,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.12066423566665,35.652265594594795,神奈川県
和田,神奈川中央交通西（株）,野08,,,1,,,,139.1487958606377,35.65134418764068,神奈川県
岩中野,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.12133449608342,35.65085831570697,神奈川県
寺外戸,神奈川中央交通西（株）,野08,,,1,,,,139.14709126117248,35.65061090153249,神奈川県
鎌沢入口,神奈川中央交通西（株）,野08,,,1,,,,139.1447539775894,35.64962733658851,神奈川県
御霊,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.12257446411354,35.64830260058782,神奈川県
芳ケ沢,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.12552791780362,35.64513647041454,神奈川県
橋詰入口,神奈川中央交通西（株）,野08,,,1,,,,139.1412057464236,35.64460651735645,神奈川県
佐野川,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.12666425618227,35.64329482338144,神奈川県
入間坂,神奈川中央交通西（株）,野08,,,1,,,,139.14048693920813,35.64222238503105,神奈川県
沢井入口,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.1283566760787,35.64086883014769,神奈川県
藤野北小学校前,神奈川中央交通西（株）,野08,,,1,,,,139.1396617641084,35.63992712333611,神奈川県
稲田堤,小田急バス（株）,"読02,読04",,,"1,1",,,,139.53539893981346,35.638383090983844,神奈川県
上河原,神奈川中央交通西（株）,野08,,,1,,,,139.1397992660272,35.6378240919653,神奈川県
菅三丁目,川崎市,登14,,,2,,,,139.5245723940636,35.637395803518324,神奈川県
菅四丁目,川崎市,登14,,,2,,,,139.52687947440688,35.63715592126332,神奈川県
石舟,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸,,,1,,,,139.12483455798252,35.63468072330226,神奈川県
上沢井,神奈川中央交通西（株）,野08,,,1,,,,139.14123019926896,35.63371334158083,神奈川県
稲田堤駅前,小田急バス（株）,"読02,読04",,,"1,1",,,,139.5349373707681,35.63361969404025,神奈川県
城下,川崎市,登14,,,2,,,,139.53058520322307,35.63348904112694,神奈川県
城下,小田急バス（株）,"読04,読05",,,"1,1",,,,139.53058520322307,35.63348904112694,神奈川県
稲田堤駅入口,川崎市,登14,,,2,,,,139.53415260250853,35.632249697637306,神奈川県
稲田堤駅入口,小田急バス（株）,"読02,読04",,,"1,1",,,,139.53415260250853,35.632249697637306,神奈川県
中野島多摩川住宅,川崎市,"登06,登21",,,"2,2",,,,139.55835426738759,35.6321098670016,神奈川県
菅北浦三丁目,川崎市,登14,,,2,,,,139.5299713145475,35.63154527263613,神奈川県
菅北浦三丁目,小田急バス（株）,"読04,読05",,,"1,1",,,,139.5299713145475,35.63154527263613,神奈川県
沢井住宅前,神奈川中央交通西（株）,野08,,,1,,,,139.14355129162558,35.631304881188356,神奈川県
中河原公園前,川崎市,"登06,登21",,,"2,2",,,,139.55838325679096,35.631291982234686,神奈川県
北浦（多摩区）,小田急バス（株）,読02,,,1,,,,139.536743489387,35.6303235186005,神奈川県
多摩老人福祉センター前,川崎市,"登06,登21",,,"2,2",,,,139.5614120932274,35.63008261793,神奈川県
北浦,川崎市,登14,,,2,,,,139.5374710062793,35.62981476470293,神奈川県
陣馬登山口,神奈川中央交通西（株）,野08,,,1,,,,139.1485481612198,35.62909480354484,神奈川県
カリタス学園,川崎市,"登06,登21",,,"2,2",,,,139.55742291599563,35.628722038665636,神奈川県
塚戸,川崎市,登14,,,2,,,,139.53962964627434,35.628564840805126,神奈川県
塚戸,小田急バス（株）,読02,,,1,,,,139.53962964627434,35.628564840805126,神奈川県
菅仙谷公園前,川崎市,登14,,,2,,,,139.5292906170761,35.62850034818245,神奈川県
菅仙谷公園前,小田急バス（株）,"読04,読05",,,"1,1",,,,139.5292906170761,35.62850034818245,神奈川県
中野島公社住宅前,川崎市,"登06,登21",,,"2,2",,,,139.56018447309864,35.62816585938395,神奈川県
登戸営業所,小田急バス（株）,"向ヶ丘遊園駅〜登戸営業所,あざみ野駅〜登戸営業所",,,"1,1",,,,139.56506158675467,35.62728827823534,神奈川県
和泉,川崎市,"登06,登21",,,"2,2",,,,139.56226318470004,35.626842395008865,神奈川県
